Participant,WouldReccomend,LackOriginality,GeneralizePrevious,QuestionOriginal,NotPriority,BuildReputation,VerifyResults,NegativePublisherEvaluation,ExpandResults,EstablishKnowledge,LearnMethods,RelevantResearch,StrengthenDiscipline,ConsolidateResults,ValuableToField,LackInnovation,IncreaseOrDecrease,HaveReplicated,WantToReplicate,Country,PublishPerYear,CoursesTaken,ResearchType
35,1,20,50,50,40,60,50,20,70,70,70,100,70,50,100,20,3,1,,Germany,1,6,3
36,1,30,100,20,30,20,100,NA,100,100,16,100,100,100,100,1,3,0,Yes,Argentina,2,6,2
37,1,59,85,90,19,50,95,45,96,93,90,64,92,91,63,54,3,1,,Nepal,1,4,4
38,1,1,100,1,100,100,100,61,100,100,100,100,100,100,100,1,3,0,Yes,Germany,1,2,1
39,NA,60,61,40,50,51,72,75,72,58,46,71,58,66,57,59,NA,0,Yes,Canada,1,3,2
40,1,11,61,51,18,19,75,50,82,78,82,87,90,80,88,13,3,0,Yes,Germany,1,3,2
41,1,0,100,0,0,100,100,0,100,100,100,100,100,100,100,0,3,1,,Spain,0,3,4
42,1,28,100,100,1,60,100,48,100,100,100,100,100,100,100,9,3,1,,Malaysia,1,NA,2
43,1,0,50,0,0,30,75,30,75,90,0,100,90,75,100,0,3,0,Yes,Netherlands,1,10,2
44,1,60,100,0,50,50,100,70,100,100,100,100,100,100,100,50,3,1,,Spain,1,4,1
45,1,60,40,100,100,62,100,10,85,90,90,100,100,85,100,6,2,0,Yes,China,NA,3,4
46,1,62,75,57,24,76,86,13,75,68,60,83,82,89,82,9,3,1,,Japan,2,2,2
47,1,57,29,30,2,64,87,69,99,71,73,100,100,99,99,17,3,1,,South Korea,1,5,2
48,1,68,100,61,11,50,83,NA,82,82,76,72,86,92,92,55,3,1,,Russia,NA,1,2
49,1,0,20,10,80,70,90,50,90,75,100,85,86,94,100,0,NA,1,,Australia,1,1,3
50,1,62,50,62,50,72,82,49,71,72,72,72,72,71,71,60,3,0,No response,USA,2,6,5
51,1,29,73,93,29,82,82,23,83,93,70,88,92,93,92,27,2,1,,Australia,2,2,2
52,1,24,27,67,35,63,88,51,83,68,87,100,100,96,94,37,3,1,,United Kingdom,0,1,1
53,1,0,50,80,80,0,100,50,100,70,100,100,100,100,100,30,3,1,,USA,1,4,2
54,1,30,80,0,50,50,50,50,100,100,100,100,100,70,100,30,3,1,,USA,0,1,1
55,1,81,53,31,69,78,100,95,64,80,50,94,100,100,100,81,3,0,Yes,Canada,2,3,1
56,1,55,25,46,22,38,62,39,51,59,63,81,87,74,84,48,3,0,Yes,USA,1,7,2
57,1,50,62,34,25,0,78,72,11,50,50,50,50,57,69,64,3,0,No,Canada,1,2,1
58,1,70,100,10,100,10,100,60,60,100,100,100,100,100,100,20,3,1,,Greece,2,1,1
59,1,83,58,51,38,6,75,70,79,77,89,89,91,79,100,66,3,0,No,USA,1,4,2
60,1,75,100,51,NA,32,99,93,66,68,NA,73,100,83,100,61,3,0,Yes,USA,1,3,2
61,1,90,92,48,17,37,86,15,98,100,76,95,100,94,100,15,3,0,No response,United Kingdom,4,0,2
62,1,30,82,30,15,65,90,75,66,75,95,100,100,72,90,55,3,1,,Germany,1,2,1
63,1,9,90,22,62,41,92,59,72,100,100,100,100,100,100,50,3,0,Yes,Turkey,1,4,2
64,1,50,50,20,90,50,60,50,80,100,50,100,89,91,91,16,3,1,,Spain,1,4,1
65,1,0,0,0,50,50,100,50,100,100,100,100,100,100,100,0,3,0,No response,USA,1,0,3
66,0,30,47,61,71,15,52,25,64,35,54,21,31,30,20,36,NA,0,No,United Kingdom,1,2,2
67,1,15,81,10,56,17,50,60,55,55,50,75,75,53,71,14,3,1,,Netherlands,1,3,2
68,1,30,65,4,66,84,74,NA,71,91,100,94,100,61,99,21,3,0,Yes,Netherlands,NA,7,2
69,1,35,59,28,NA,NA,100,NA,100,82,50,58,50,82,74,13,NA,1,,Taiwan,NA,3,2
70,1,76,95,20,30,50,57,65,50,75,75,90,95,68,80,45,3,1,,United Kingdom,4,NA,1
71,1,16,8,77,89,NA,56,NA,79,74,81,82,NA,11,82,12,3,1,,Brazil,NA,2,3
72,1,1,75,0,0,50,75,50,100,100,100,100,100,75,100,2,3,1,,Norway,5,10,1
73,1,24,100,50,63,72,100,50,100,100,100,100,100,100,100,27,3,0,Yes,South Africa,1,2,1
74,1,83,83,84,18,68,84,70,35,41,83,81,79,80,78,65,3,1,,Spain,2,3,1
75,1,81,82,25,87,22,88,49,52,74,50,66,82,82,66,82,3,0,Yes,Israel,3,5,1
76,1,65,81,87,50,72,83,22,71,65,80,89,95,83,89,51,3,0,Yes,Japan,5,NA,1
77,1,51,100,100,50,52,100,50,100,100,100,100,100,100,100,0,3,0,No response,France,2,2,1
78,1,1,50,50,1,100,50,50,50,100,100,100,100,50,100,1,3,1,,USA,2,3,4
79,1,0,100,20,0,100,100,20,100,100,90,100,100,100,100,0,3,1,,USA,NA,4,2
80,1,30,72,1,1,21,100,67,100,100,100,100,100,100,100,27,3,0,Yes,USA,1,3,3
81,1,30,50,50,10,65,50,10,100,100,100,100,100,100,100,30,3,1,,USA,0,9,4
82,1,40,60,45,45,43,58,57,57,58,58,59,59,60,62,44,3,0,No,USA,2,3,4
83,NA,49,50,50,60,40,50,50,50,50,50,40,60,50,60,60,NA,0,NA,USA,NA,NA,NA
84,1,3,93,50,2,51,50,92,95,95,51,97,97,97,97,53,3,1,,USA,2,1,1
85,No response,11,77,5,22,11,23,13,72,72,72,76,69,28,51,15,2,0,No response,USA,1,1,3
86,1,51,91,71,19,20,100,NA,100,100,100,100,100,100,100,69,3,1,,USA,NA,2,1
87,1,80,20,20,60,40,75,50,75,75,75,90,90,60,90,60,3,0,No,USA,2,5,4
88,1,55,65,0,70,0,80,0,30,30,50,70,50,50,70,70,2,1,,USA,1,7,2
89,1,NA,82,61,97,13,71,49,94,68,60,88,88,70,95,10,3,0,No response,Germany,NA,3,2
90,1,75,100,61,13,42,100,69,95,100,50,100,100,100,100,30,3,1,,USA,2,10,1
91,1,71,71,11,61,61,72,72,73,65,50,77,78,77,78,69,2,0,Yes,USA,2,8,2
92,1,50,60,30,70,20,50,50,40,40,70,60,60,60,50,60,NA,0,NA,Australia,3,10,3
93,1,40,60,4,30,30,85,85,50,100,100,90,100,80,100,50,3,1,,United Kingdom,NA,NA,2
94,1,11,40,42,9,40,NA,NA,47,71,20,100,100,50,100,40,3,1,,United Kingdom,1,4,2
95,1,33,15,86,5,89,91,7,92,92,93,92,95,93,95,5,3,1,,USA,2,3,2
96,1,90,70,50,30,50,50,50,70,70,60,100,100,65,100,40,NA,0,Yes,Japan,1,NA,4
97,1,81,82,100,82,20,100,NA,83,100,100,50,80,80,80,100,3,1,,Netherlands,NA,0,3
98,1,29,81,61,30,30,70,60,70,75,60,85,80,70,80,40,3,1,,Iran,3,4,3
99,1,60,40,90,90,40,50,NA,90,100,90,100,100,50,100,30,3,1,,USA,1,2,3
100,1,0,90,0,50,50,66,50,100,100,60,100,100,100,100,0,3,0,Yes,Germany,NA,0,3
101,1,65,69,57,65,51,69,78,63,85,63,73,100,50,100,40,3,1,,USA,1,6,2
102,1,28,1,28,18,1,69,51,88,87,15,100,85,32,100,25,3,0,No,France,1,2,1
103,1,1,60,50,1,50,100,NA,63,100,100,100,100,100,100,1,3,1,,Canada,1,NA,3
104,1,60,100,20,30,50,100,35,70,90,70,100,100,100,100,80,3,1,,USA,3,3,1
105,1,1,100,1,1,20,67,1,100,100,1,100,100,100,100,1,3,1,,United Kingdom,1,NA,2
106,0,NA,0,0,100,0,0,NA,20,20,0,0,0,0,10,NA,2,0,No,United Kingdom,2,3,4
107,NA,81,82,61,52,40,62,NA,80,81,90,80,50,71,80,80,NA,0,No,Belgium,2,0,4
108,1,50,89,59,90,7,90,80,81,100,80,100,100,80,100,50,3,1,,USA,2,3,2
109,1,10,10,90,100,100,100,50,91,100,100,100,100,49,100,50,3,1,,USA,1,5,3
110,1,0,100,100,49,48,100,48,100,100,100,100,100,100,100,0,2,0,No response,Brazil,NA,1,4
111,1,0,85,48,7,75,60,12,86,100,57,65,100,84,78,13,3,1,,United Kingdom,5,2,3
112,1,10,100,80,4,49,100,60,100,97,100,100,100,100,100,80,3,1,,United Kingdom,5,1,2
113,1,42,63,29,51,35,61,47,67,56,64,64,49,64,76,39,NA,1,,Greece,1,2,2
114,1,70,80,60,60,10,90,100,60,60,70,70,90,80,80,60,3,1,,USA,1,2,2
115,1,10,81,10,83,1,85,85,86,87,87,86,88,89,91,2,3,0,No response,USA,1,2,3
116,1,19,69,17,17,41,15,0,NA,53,31,61,61,45,70,15,3,1,,United Kingdom,NA,1,NA
117,1,25,50,50,75,50,50,25,75,75,75,75,75,75,75,50,2,0,No,NA,2,3,4
119,1,0,20,20,70,70,70,60,90,90,100,100,80,60,90,0,3,0,No response,Brazil,1,1,4
120,1,81,51,19,82,66,52,52,61,50,72,72,62,51,61,62,2,0,Yes,USA,1,5,4
121,1,3,8,93,50,72,94,9,97,48,85,82,87,86,85,6,3,1,,Brazil,1,1,3
122,No response,50,60,60,40,50,60,60,50,60,65,65,65,65,65,50,2,0,No response,Brazil,2,2,4
123,1,40,65,46,87,65,99,50,100,91,88,91,100,93,100,32,3,0,Yes,USA,1,4,3
124,1,10,100,0,0,60,85,27,100,100,50,100,100,90,100,10,3,1,,USA,3,2,1
125,1,9,10,51,19,40,100,40,90,90,70,100,100,100,100,1,3,0,Yes,United Kingdom,0,2,1
126,No response,71,NA,NA,50,NA,NA,NA,NA,66,72,68,69,70,71,75,3,0,No response,Germany,2,1,1
127,1,50,83,20,10,50,90,40,61,71,62,75,80,95,95,15,3,0,Yes,Canada,2,3,2
128,1,79,95,46,14,48,68,74,75,79,78,81,80,56,76,70,3,0,Yes,USA,2,1,1
129,1,10,10,100,10,50,100,50,100,100,100,100,100,100,100,10,3,1,,Brazil,2,3,3
130,1,9,82,62,10,76,100,69,100,100,100,100,100,100,100,10,3,0,Yes,USA,NA,3,2
131,1,10,50,0,0,50,100,50,70,100,100,100,100,100,100,2,3,1,,Serbia,1,2,2
132,1,9,80,50,60,72,73,19,65,69,77,50,87,87,86,38,3,0,Yes,Germany,NA,1,1
133,1,4,7,18,39,46,66,47,69,70,71,78,65,71,65,8,NA,1,,Poland,1,0,3
134,1,70,50,71,0,50,60,0,0,70,70,100,100,80,100,50,3,0,No,Netherlands,1,3,2
135,1,25,10,61,10,51,90,43,92,71,70,95,95,88,89,13,3,1,,United Kingdom,1,3,2
136,0,62,83,40,NA,80,80,80,73,41,86,NA,75,75,54,95,NA,0,No,Australia,NA,1,5
137,1,4,10,2,10,10,70,20,75,100,3,100,100,100,100,3,3,1,,Spain,1,7,2
138,1,50,70,80,100,20,95,100,70,80,80,100,100,70,100,50,3,1,,New Zealand,5,1,2
139,1,20,90,10,80,80,80,50,90,85,90,95,95,90,90,20,3,0,Yes,Mexico,1,10,2
140,1,10,90,60,80,100,100,80,100,100,100,100,100,100,100,0,3,1,,Japan,3,5,2
141,0,19,75,50,62,22,77,70,75,76,6,94,76,83,74,52,3,1,,USA,1,3,2
142,1,90,73,74,83,78,89,84,81,81,79,79,79,79,74,92,3,0,Yes,Taiwan,1,3,2
143,1,20,30,1,70,50,80,NA,90,90,90,100,80,80,90,20,3,0,Yes,USA,0,5,2
144,1,0,100,60,0,75,80,60,80,80,65,100,100,90,100,30,3,1,,USA,3,3,2
145,1,50,60,10,0,50,60,50,80,100,60,100,100,100,100,0,3,0,Yes,USA,NA,2,3
146,No response,80,50,75,75,50,75,50,85,85,50,100,100,50,100,5,3,0,Yes,Spain,NA,3,2
147,1,0,0,65,0,100,100,0,100,100,100,100,100,75,100,40,NA,0,Yes,Brazil,2,2,1
148,1,35,60,70,15,30,60,30,75,75,40,90,80,80,77,14,3,1,,USA,1,4,2
149,1,30,100,80,30,80,100,30,100,100,67,100,100,100,100,30,3,1,,USA,NA,4,3
150,1,81,49,49,85,48,99,80,82,78,82,79,81,81,81,100,3,0,No response,Canada,1,4,2
151,1,51,80,10,0,60,100,65,100,100,100,100,100,100,100,70,3,0,Yes,USA,3,3,2
152,0,100,90,80,90,3,100,90,30,2,33,34,42,100,53,100,NA,0,No,Brazil,2,5,2
153,1,10,20,5,40,70,90,70,100,90,80,100,100,90,100,10,3,1,,USA,1,3,2
154,1,1,81,50,1,50,80,50,100,80,80,100,100,80,100,1,3,1,,USA,3,7,1
155,No response,50,75,50,70,55,90,75,100,80,70,80,80,80,80,80,3,0,Yes,USA,2,3,4
156,1,51,65,66,81,73,69,69,82,83,84,99,99,100,100,23,3,1,,Canada,3,5,2
157,1,80,100,10,30,50,80,10,80,50,50,80,80,80,80,50,3,1,,Canada,1,5,2
158,1,50,50,50,20,60,50,50,89,89,50,87,87,50,85,50,3,1,,Canada,2,3,2
159,1,50,20,80,50,50,90,80,80,80,95,96,90,90,90,20,3,1,,USA,2,2,4
160,0,11,6,28,69,68,70,58,17,61,41,60,6,72,50,74,2,0,Yes,NA,4,NA,NA
161,0,85,88,88,85,14,54,56,57,58,84,84,24,89,64,42,2,0,No,Bangladesh,5,2,4
162,1,50,50,50,70,60,70,50,50,70,70,80,50,50,70,50,3,0,No,USA,1,6,4
163,1,50,81,39,53,30,96,52,76,77,86,100,100,74,83,38,3,1,,USA,1,4,1
164,1,40,62,64,61,44,76,55,79,81,86,100,100,100,100,38,3,1,,USA,3,4,2
165,1,1,90,1,1,70,90,1,90,100,100,100,100,100,100,1,3,0,No,USA,NA,2,3
166,1,50,81,100,50,50,100,50,100,100,100,100,100,100,100,50,3,1,,France,NA,0,3
167,1,10,90,66,2,84,50,1,1,13,7,1,1,17,1,94,3,1,,United Kingdom,1,0,3
168,1,20,100,100,3,70,100,20,100,100,100,100,100,100,100,85,3,1,,USA,2,3,3
169,1,10,70,70,30,90,90,60,79,80,90,90,93,90,95,20,3,1,,USA,0,4,3
170,1,15,50,15,15,50,50,40,80,80,80,90,90,50,90,15,3,1,,Canada,3,0,2
171,1,5,69,38,50,40,50,60,90,60,100,100,100,60,100,5,3,1,,USA,1,2,2
172,1,100,100,100,50,60,100,50,60,75,75,100,100,100,100,50,3,0,Yes,USA,2,2,2
173,1,22,70,7,NA,NA,77,NA,20,74,NA,86,85,81,84,12,3,0,No response,Germany,3,7,1
174,1,70,80,80,60,20,100,30,100,40,90,100,100,100,100,20,3,1,,Slovakia,1,10,2
175,1,1,88,69,100,70,100,NA,100,100,100,100,100,100,100,1,3,1,,USA,0,3,3
176,1,40,75,85,90,25,50,80,90,40,10,95,90,50,75,15,3,0,Yes,United Kingdom,0,2,3
178,1,19,50,32,76,7,80,61,50,100,31,100,100,100,100,16,3,0,No response,Germany,4,8,2
179,1,1,NA,1,70,20,100,50,100,100,100,100,100,100,100,0,3,0,Yes,France,1,4,3
180,1,76,100,1,9,5,100,50,100,100,50,63,90,100,79,80,3,0,Yes,Sweden,2,4,2
181,1,7,6,60,38,57,59,59,62,62,53,63,61,61,59,24,3,1,,South Africa,2,5,4
182,1,100,60,51,81,84,69,50,50,75,79,51,53,50,90,91,3,1,,Netherlands,4,3,2
183,1,10,90,90,1,75,94,NA,92,86,85,85,85,85,84,1,3,0,Yes,Belgium,0,2,4
184,1,19,60,10,50,40,66,40,50,70,50,74,73,73,73,19,3,0,No,United Arab Emirates,1,2,4
185,1,50,50,54,0,100,100,30,60,95,100,100,100,100,100,75,3,1,,Macau,5,4,2
186,1,20,81,50,100,10,50,70,70,80,NA,89,81,50,82,50,3,0,Yes,Sweden,NA,3,1
187,1,9,99,60,90,8,100,47,99,100,9,99,100,100,100,31,3,1,,Croatia,2,10,3
188,1,30,100,62,14,85,85,58,86,86,87,100,100,100,100,60,3,0,Yes,Poland,2,5,2
189,1,0,0,0,50,50,80,0,90,80,50,60,60,80,80,50,3,0,Yes,Poland,4,0,3
190,0,81,91,0,92,0,80,25,5,5,50,62,33,39,38,39,2,0,No,United Kingdom,2,2,5
191,1,20,80,80,5,50,65,50,20,75,85,100,100,75,100,40,3,0,Yes,Ireland,1,0,4
192,1,1,100,50,1,85,85,11,100,100,78,100,100,100,100,1,3,0,Yes,Germany,3,1,1
193,1,59,69,70,42,43,62,30,78,79,56,76,76,69,73,53,3,0,No,United Kingdom,1,5,4
194,1,70,NA,20,20,30,88,70,80,80,70,78,82,80,80,30,3,0,Yes,Norway,1,3,2
195,1,51,90,10,52,41,90,50,91,80,81,82,90,91,80,25,3,1,,Spain,2,1,1
196,1,9,81,17,0,70,86,NA,78,82,81,100,100,84,100,0,3,1,,Belgium,1,5,2
197,1,51,92,50,40,NA,82,NA,81,83,83,83,87,85,85,78,3,0,Yes,Belgium,1,4,2
198,1,10,70,62,10,65,66,53,77,77,78,78,76,76,77,16,3,1,,Germany,2,NA,2
199,1,70,50,70,20,50,80,50,80,50,60,100,100,50,100,60,3,1,,Belgium,2,3,2
200,1,100,100,10,1,70,90,22,71,100,100,100,100,100,100,87,3,1,,Netherlands,5,4,2
201,1,71,82,50,8,5,95,81,91,93,47,87,89,100,92,75,3,0,Yes,Germany,2,0,2
202,1,60,60,15,15,48,99,39,40,92,71,100,100,93,92,50,2,1,,Belgium,5,10,1
203,1,57,85,50,0,58,87,38,79,100,71,100,100,100,100,45,3,1,,Finland,4,6,1
204,1,30,100,4,100,NA,100,100,100,100,100,100,100,100,100,39,3,1,,United Kingdom,2,3,1
205,1,9,81,11,2,44,45,69,100,100,9,100,100,62,100,17,3,1,,Japan,1,5,2
206,1,19,50,20,50,50,70,51,52,72,73,100,100,100,100,47,3,0,Yes,Brazil,0,2,5
207,1,70,80,60,35,25,60,65,75,70,80,75,85,60,70,40,3,0,Yes,USA,1,7,2
208,1,30,50,50,86,79,50,13,50,90,75,83,83,84,83,50,NA,1,,Brazil,1,0,5
209,1,0,92,92,74,100,92,67,100,100,100,100,100,100,100,0,3,1,,Japan,2,8,2
210,1,41,41,42,42,63,62,43,64,65,65,65,65,66,67,10,2,1,,Philippines,4,3,2
211,1,0,100,1,37,0,35,70,70,100,100,100,100,100,100,10,3,1,,Hong Kong,3,2,2
212,1,100,90,80,100,20,90,90,90,50,70,90,80,90,90,100,3,1,,Japan,2,6,3
213,1,75,100,5,90,75,100,10,100,100,90,100,100,100,100,60,3,1,,USA,1,2,3
214,1,40,18,27,26,47,35,71,60,50,60,44,35,50,50,10,1,1,,Brazil,1,NA,4
215,1,19,71,8,50,11,66,88,86,70,60,81,80,80,80,3,2,1,,USA,3,1,1
216,1,14,84,7,9,65,79,22,95,82,87,99,93,78,93,26,3,1,,USA,2,2,2
217,1,50,75,76,17,NA,100,80,100,100,100,100,100,100,100,14,3,1,,USA,1,2,3
218,1,3,40,4,50,41,50,4,100,100,100,100,80,80,80,3,3,1,,USA,0,2,2
219,1,35,9,30,9,22,67,86,88,100,100,100,100,60,80,70,3,1,,Sweden,0,5,2
220,1,1,92,92,2,32,42,1,98,100,100,100,100,100,100,2,3,1,,USA,3,2,1
221,1,19,100,18,0,100,100,63,100,100,100,100,100,100,100,15,3,1,,USA,5,4,2
222,1,20,60,54,34,78,88,70,91,94,74,82,93,93,94,20,3,0,Yes,Brazil,1,2,5
223,No response,72,69,31,78,NA,68,NA,NA,63,29,80,69,75,81,93,3,0,No,Argentina,2,1,4
224,1,10,51,0,0,45,89,9,89,100,81,100,100,71,100,12,3,0,Yes,Canada,1,4,2
225,1,50,50,50,NA,50,50,NA,50,75,NA,75,50,75,75,NA,NA,1,,USA,NA,NA,2
226,1,80,100,0,30,70,80,90,100,100,100,90,100,100,100,90,3,0,Yes,USA,NA,6,3
227,1,100,76,92,45,25,86,74,76,82,70,91,98,86,70,100,3,0,Yes,Canada,2,1,3
228,1,19,20,20,20,21,61,NA,73,76,82,87,88,52,100,19,3,0,No response,USA,4,2,2
230,1,70,25,80,10,45,75,70,85,100,90,100,100,90,100,60,3,1,,Austria,1,5,2
231,1,20,20,61,81,81,69,22,87,85,74,90,82,92,85,21,2,1,,Spain,1,3,3
232,1,40,71,39,99,100,81,69,95,100,93,100,100,100,100,57,3,1,,USA,1,4,2
233,1,10,10,10,10,80,80,50,80,80,80,100,100,90,100,0,2,1,,Mexico,3,4,3
234,NA,42,48,11,48,13,67,8,63,66,82,46,71,72,54,79,NA,0,No,Brazil,0,3,4
235,1,11,80,40,10,50,70,50,90,90,70,100,100,80,99,30,3,0,Yes,USA,2,2,2
236,1,20,30,2,60,80,100,10,100,100,50,100,100,50,100,30,3,0,Yes,Sweden,1,1,2
237,1,100,28,51,84,2,93,52,25,75,74,100,100,100,100,53,3,0,Yes,USA,2,5,1
238,1,50,73,73,50,50,95,50,94,94,95,95,95,95,95,50,NA,0,NA,USA,1,5,3
239,1,50,85,57,100,15,57,90,100,92,100,90,100,95,100,50,NA,1,,NA,NA,NA,NA
240,1,NA,95,NA,75,75,95,75,94,94,94,95,94,94,95,NA,NA,1,,NA,NA,NA,NA
241,1,92,93,29,31,75,88,100,88,88,76,95,94,87,93,16,NA,1,,NA,NA,NA,NA
242,1,61,50,10,37,NA,87,NA,88,71,68,70,51,80,71,50,NA,1,,NA,NA,NA,NA
243,1,100,100,50,31,5,50,70,50,100,70,100,100,50,100,5,3,1,,United Kingdom,5,2,1
244,1,100,83,1,85,61,100,100,100,100,100,100,100,100,100,47,3,0,Yes,United Kingdom,3,10,2
246,1,84,90,96,9,34,87,42,66,87,94,68,73,77,56,46,NA,1,,NA,NA,NA,NA
247,1,10,80,10,10,60,60,10,60,60,60,90,90,80,90,10,3,0,Yes,Canada,1,3,2
248,1,10,30,30,50,50,51,50,85,85,80,100,100,100,100,50,3,0,Yes,Australia,2,3,4
249,1,0,100,50,0,50,100,100,100,100,100,100,100,100,100,0,3,0,Yes,USA,1,3,2
250,1,9,49,50,28,72,73,13,100,100,100,100,100,63,100,7,3,1,,USA,3,5,2
251,1,50,60,1,50,40,80,50,65,65,40,80,80,60,80,55,3,1,,USA,3,3,1
252,1,81,71,82,88,80,80,55,63,65,65,80,70,60,71,60,3,0,Yes,Brazil,NA,2,2
253,1,12,12,12,NA,NA,8,NA,6,6,11,13,11,6,9,94,NA,1,,NA,NA,NA,NA
254,1,65,24,0,72,81,63,NA,68,100,69,84,36,70,66,60,3,0,Yes,Sweden,0,0,2
255,1,10,75,50,10,75,50,30,50,80,50,100,90,50,90,10,NA,1,,NA,NA,NA,NA
256,1,1,100,2,100,36,100,3,100,100,100,100,100,100,100,1,3,0,No response,Germany,1,4,1
257,1,80,100,40,91,100,100,59,100,100,89,100,100,100,100,87,3,0,Yes,USA,NA,5,3
258,1,3,30,3,30,50,75,75,100,100,100,100,100,100,100,3,3,1,,USA,4,8,2
259,1,50,50,70,50,50,100,70,70,100,70,90,100,100,100,50,3,1,,Canada,2,1,2
260,1,51,69,50,17,28,74,71,72,71,71,73,78,78,79,21,3,0,Yes,Canada,2,1,2
261,1,83,45,91,91,13,68,79,87,91,97,90,99,72,80,76,3,1,,USA,0,4,4
262,1,20,81,10,80,50,90,50,90,80,90,100,100,80,90,10,3,0,Yes,USA,3,4,3
263,1,30,100,58,73,86,100,65,100,100,87,100,100,100,100,19,3,1,,USA,2,3,3
264,1,50,50,60,0,50,75,50,75,100,100,100,100,100,100,0,3,1,,USA,4,3,3
265,1,100,100,0,50,50,100,75,100,100,100,100,100,100,100,75,3,1,,USA,2,4,2
266,1,70,90,90,70,70,80,70,80,60,90,90,90,80,100,70,3,0,Yes,USA,1,8,2
267,NA,50,NA,70,NA,50,70,50,90,65,70,65,65,85,75,50,NA,1,,Brazil,1,3,4
268,1,80,90,90,60,40,90,55,50,75,80,85,90,90,90,60,3,0,Yes,Canada,2,2,2
269,1,40,68,75,82,18,100,64,100,46,73,100,100,56,100,56,3,1,,USA,1,4,2
270,1,13,NA,53,12,80,100,NA,82,100,100,100,100,75,100,51,3,1,,USA,0,2,2
271,1,14,82,20,0,80,49,49,85,100,100,100,100,93,96,19,3,1,,USA,2,5,2
272,1,30,100,0,76,16,100,7,100,100,100,100,100,100,100,77,3,0,Yes,USA,1,5,1
273,1,20,100,70,30,30,100,70,80,100,70,100,100,100,100,30,3,0,Yes,USA,2,2,2
